State,Year,Population,CO2
Alabama,1990,"4,050,055",109.0833364
Alabama,1991,"4,099,156",113.2436469
Alabama,1992,"4,154,014",119.981011
Alabama,1993,"4,214,202",123.9822406
Alabama,1994,"4,260,229",121.9556489
Alabama,1995,"4,296,800",129.6677777
Alabama,1996,"4,331,102",135.7008294
Alabama,1997,"4,367,935",133.6096217
Alabama,1998,"4,404,701",131.2526438
Alabama,1999,"4,430,141",133.4156562
Alabama,2000,"4,447,100",139.4089228
Alabama,2001,"4,467,634",131.0512926
Alabama,2002,"4,480,089",136.0206251
Alabama,2003,"4,503,491",136.6026387
Alabama,2004,"4,530,729",139.3085651
Alabama,2005,"4,569,805",140.8267486
Alabama,2006,"4,628,981",143.4493855
Alabama,2007,"4,672,840",145.381193
Alabama,2008,"4,718,206",138.4701511
Alabama,2009,"4,757,938",119.3872718
Alabama,2010,"4,779,736",132.0958677
Alaska,1990,"553,290",34.30254302
Alaska,1991,"570,193",34.89947162
Alaska,1992,"588,736",36.2830385
Alaska,1993,"599,432",36.14376699
Alaska,1994,"603,308",35.9469705
Alaska,1995,"604,412",40.49822267
Alaska,1996,"608,569",41.57519469
Alaska,1997,"612,968",41.65705635
Alaska,1998,"619,932",42.63981243
Alaska,1999,"624,779",43.18409998
Alaska,2000,"626,932",43.83468191
Alaska,2001,"633,714",42.8916971
Alaska,2002,"642,337",43.05374326
Alaska,2003,"648,414",43.02431962
Alaska,2004,"659,286",46.32949954
Alaska,2005,"666,946",47.5109237
Alaska,2006,"675,302",45.57460992
Alaska,2007,"680,300",43.90091168
Alaska,2008,"687,455",39.26496113
Alaska,2009,"698,895",37.59148355
Alaska,2010,"710,231",38.45064966
Arizona,1990,"3,684,097",62.94371199
Arizona,1991,"3,788,576",63.75833613
Arizona,1992,"3,915,740",66.55722893
Arizona,1993,"4,065,440",69.02959448
Arizona,1994,"4,245,089",71.69440665
Arizona,1995,"4,432,499",66.62180799
Arizona,1996,"4,586,940",68.48045367
Arizona,1997,"4,736,990",71.60679814
Arizona,1998,"4,883,342",76.00867034
Arizona,1999,"5,023,823",80.13131076
Arizona,2000,"5,130,632",85.81058399
Arizona,2001,"5,273,477",88.15609888
Arizona,2002,"5,396,255",87.54670929
Arizona,2003,"5,510,364",89.13147453
Arizona,2004,"5,652,404",96.40346121
Arizona,2005,"5,839,077",96.51113445
Arizona,2006,"6,029,141",99.80325571
Arizona,2007,"6,167,681",101.954468
Arizona,2008,"6,280,362",102.8648849
Arizona,2009,"6,343,154",94.3835317
Arizona,2010,"6,392,017",95.60692677
Arkansas,1990,"2,356,586",51.24559224
Arkansas,1991,"2,383,144",50.30492895
Arkansas,1992,"2,415,984",51.93460942
Arkansas,1993,"2,456,303",51.12827048
Arkansas,1994,"2,494,019",55.01101324
Arkansas,1995,"2,535,399",58.35325337
Arkansas,1996,"2,572,109",60.99931325
Arkansas,1997,"2,601,090",59.97900527
Arkansas,1998,"2,626,289",60.65239022
Arkansas,1999,"2,651,860",62.72624868
Arkansas,2000,"2,673,400",63.08918947
Arkansas,2001,"2,691,571",62.25523348
Arkansas,2002,"2,705,927",60.98814413
Arkansas,2003,"2,724,816",61.45196319
Arkansas,2004,"2,749,686",62.09864586
Arkansas,2005,"2,781,097",59.92170667
Arkansas,2006,"2,821,761",61.8799342
Arkansas,2007,"2,848,650",63.32266073
Arkansas,2008,"2,874,554",63.87168145
Arkansas,2009,"2,896,843",61.70473239
Arkansas,2010,"2,915,918",66.18718943
California,1990,"29,959,515",362.9798532
California,1991,"30,470,736",351.3262273
California,1992,"30,974,659",355.5062717
California,1993,"31,274,928",345.5882029
California,1994,"31,484,435",362.1615668
California,1995,"31,696,582",351.282701
California,1996,"32,018,834",352.1726193
California,1997,"32,486,010",355.2428426
California,1998,"32,987,675",365.3641572
California,1999,"33,499,204",368.4269842
California,2000,"33,871,648",383.3686731
California,2001,"34,479,458",387.5457552
California,2002,"34,871,843",386.5593883
California,2003,"35,253,159",391.5349005
California,2004,"35,574,576",393.5250941
California,2005,"35,827,943",391.041414
California,2006,"36,021,202",399.8820659
California,2007,"36,250,311",406.3011624
California,2008,"36,604,337",391.2988474
California,2009,"36,961,229",376.662374
California,2010,"37,253,956",370.889944
Colorado,1990,"3,307,618",65.33448294
Colorado,1991,"3,387,119",67.34753665
Colorado,1992,"3,495,939",68.32421621
Colorado,1993,"3,613,734",72.14522698
