State,Year,GDP (Current Dollars)
Alabama,1997,104811.9
Alabama,1998,110212
Alabama,1999,115680.1
Alabama,2000,119851.7
Alabama,2001,122915.5
Alabama,2002,127505
Alabama,2003,134152.6
Alabama,2004,147715.2
Alabama,2005,158846.8
Alabama,2006,166469
Alabama,2007,172975.2
Alabama,2008,174526.3
Alabama,2009,170930.9
Alabama,2010,177249.2
Alaska,1997,25810.8
Alaska,1998,24227.5
Alaska,1999,24744.3
Alaska,2000,26806.6
Alaska,2001,28494.1
Alaska,2002,29756.8
Alaska,2003,32037.9
Alaska,2004,35302.4
Alaska,2005,40356.6
Alaska,2006,45094.1
Alaska,2007,49583.7
Alaska,2008,55122.5
Alaska,2009,49957.8
Alaska,2010,53331.6
Arizona,1997,132281
Arizona,1998,143302.6
Arizona,1999,155755.8
Arizona,2000,165110.7
Arizona,2001,171909.6
Arizona,2002,180522.3
Arizona,2003,193634.9
Arizona,2004,206541.1
Arizona,2005,227915.9
Arizona,2006,245957
Arizona,2007,261392
Arizona,2008,262926
Arizona,2009,246424.3
Arizona,2010,251153
Arkansas,1997,59846.3
Arkansas,1998,62396.7
Arkansas,1999,66811.3
Arkansas,2000,68678.5
Arkansas,2001,70616.7
Arkansas,2002,74113.9
Arkansas,2003,78695.1
Arkansas,2004,85199.6
Arkansas,2005,90887.7
Arkansas,2006,95875.1
Arkansas,2007,98381.6
Arkansas,2008,99706.8
Arkansas,2009,97508.1
Arkansas,2010,101486.5
California,1997,1071117
California,1998,1147520.4
California,1999,1241899.7
California,2000,1356975.4
California,2001,1375761.3
California,2002,1418429.6
California,2003,1497918.7
California,2004,1588177.4
California,2005,1698560.4
California,2006,1812210
California,2007,1898902
California,2008,1944695.3
California,2009,1890165.9
California,2010,1954092.7
Colorado,1997,136898.7
Colorado,1998,150330
Colorado,1999,163763.3
Colorado,2000,180063.2
Colorado,2001,186695.8
Colorado,2002,190019
Colorado,2003,196126.5
Colorado,2004,204167.2
Colorado,2005,220783.7
Colorado,2006,232646.7
Colorado,2007,248446.5
Colorado,2008,258871.7
Colorado,2009,251227.7
Colorado,2010,258300.2
Connecticut,1997,138331.8
Connecticut,1998,145475.5
Connecticut,1999,152287.5
Connecticut,2000,165614.3
Connecticut,2001,171216.6
Connecticut,2002,173248.3
Connecticut,2003,178702.2
Connecticut,2004,195354.9
Connecticut,2005,205214.6
Connecticut,2006,219768.4
Connecticut,2007,234540.7
Connecticut,2008,238936.8
Connecticut,2009,233290.7
Connecticut,2010,234700
Delaware,1997,33353.4
Delaware,1998,37106
Delaware,1999,40345.1
Delaware,2000,43451.3
Delaware,2001,46096.1
Delaware,2002,45508.3
Delaware,2003,47686.1
Delaware,2004,51353.7
Delaware,2005,52153.5
Delaware,2006,55174.4
Delaware,2007,56612.8
Delaware,2008,55459.8
Delaware,2009,57849.7
Delaware,2010,58163.5
District of Columbia,1997,52503.6
District of Columbia,1998,54815.3
District of Columbia,1999,58819.2
District of Columbia,2000,61092.9
District of Columbia,2001,65442.9
District of Columbia,2002,69919.5
District of Columbia,2003,73957.1
District of Columbia,2004,80140.1
District of Columbia,2005,84867.6
District of Columbia,2006,88125
District of Columbia,2007,93785.4
District of Columbia,2008,99496.5
District of Columbia,2009,100446
District of Columbia,2010,106146.9
Florida,1997,401535.3
Florida,1998,429138.4
Florida,1999,458058.9
Florida,2000,490429.8
Florida,2001,519058.6
Florida,2002,553010.3
Florida,2003,590483.1
Florida,2004,646630.6
Florida,2005,705851.9
Florida,2006,750523.8
Florida,2007,782712.5
Florida,2008,763341.5
Florida,2009,735421
Florida,2010,746928.9
Georgia,1997,242540.8
Georgia,1998,265347.2
Georgia,1999,289187.9
Georgia,2000,305572
Georgia,2001,317475.5
Georgia,2002,327051.3
Georgia,2003,342576.2
Georgia,2004,364782
Georgia,2005,389537.7
Georgia,2006,406015.6
Georgia,2007,419606.3
Georgia,2008,416377.6
Georgia,2009,409590.8
Georgia,2010,418091.3
Hawaii,1997,37707.4
Hawaii,1998,37622.9
Hawaii,1999,38990.6
Hawaii,2000,41096.8
Hawaii,2001,42585.4
Hawaii,2002,44644.2
Hawaii,2003,48166.1
Hawaii,2004,52353.5
Hawaii,2005,57369.4
Hawaii,2006,60846.5
Hawaii,2007,64163.6
Hawaii,2008,65678.2
Hawaii,2009,64549.7
Hawaii,2010,66872.9
Idaho,1997,29496.9
Idaho,1998,31059.8
Idaho,1999,34239.9
Idaho,2000,38083.1
Idaho,2001,37489
Idaho,2002,38673.2
Idaho,2003,40490.6
Idaho,2004,44327.9
Idaho,2005,48642.8
Idaho,2006,51125.8
Idaho,2007,53934.5
Idaho,2008,56200.8
Idaho,2009,54064.1
Idaho,2010,55587.6
Illinois,1997,415534.8
Illinois,1998,436567.1
Illinois,1999,460331.1
Illinois,2000,487014.6
Illinois,2001,501552.8
Illinois,2002,514361.1
Illinois,2003,533022.5
Illinois,2004,563060.8
Illinois,2005,589811.8
Illinois,2006,624242.9
Illinois,2007,650145.2
Illinois,2008,654657.5
Illinois,2009,649862.7
Illinois,2010,666404.8
Indiana,1997,170431.9
Indiana,1998,184359.8
Indiana,1999,193147.3
Indiana,2000,203801.1
Indiana,2001,205470.9
Indiana,2002,212837.8
Indiana,2003,225442.7
Indiana,2004,239743.6
Indiana,2005,248170.5
Indiana,2006,259602.8
Indiana,2007,273509.5
Indiana,2008,275538.7
Indiana,2009,263326.8
Indiana,2010,282562.2
Iowa,1997,82720.4
Iowa,1998,84644
Iowa,1999,87782.4
Iowa,2000,93112
Iowa,2001,94837.8
Iowa,2002,98557
Iowa,2003,105123.3
Iowa,2004,117188.5
Iowa,2005,123190.9
Iowa,2006,127896.3
Iowa,2007,137930.2
Iowa,2008,137548.5
Iowa,2009,136894.6
Iowa,2010,142233.9
Kansas,1997,74662.3
Kansas,1998,78382
Kansas,1999,81883.8
Kansas,2000,86099
Kansas,2001,88883.6
Kansas,2002,91584.2
Kansas,2003,95359.9
Kansas,2004,99083
Kansas,2005,105526.3
Kansas,2006,114091.9
Kansas,2007,123878.7
Kansas,2008,128604.3
Kansas,2009,125348.9
Kansas,2010,128591.3
Kentucky,1997,104546.2
Kentucky,1998,109382.3
Kentucky,1999,115106.8
Kentucky,2000,114169.2
Kentucky,2001,117647.9
Kentucky,2002,122435.3
Kentucky,2003,127982.2
Kentucky,2004,135529.3
Kentucky,2005,145011.1
Kentucky,2006,153408.4
Kentucky,2007,157163.7
Kentucky,2008,159883.8
Kentucky,2009,157479.8
Kentucky,2010,166408.7
Louisiana,1997,116313.2
Louisiana,1998,120198.1
Louisiana,1999,125807.3
Louisiana,2000,132640.8
Louisiana,2001,137901.2
Louisiana,2002,139800.9
Louisiana,2003,155092.4
Louisiana,2004,171006.1
Louisiana,2005,199594.7
Louisiana,2006,207773.8
Louisiana,2007,203041
Louisiana,2008,212392.4
Louisiana,2009,204906.9
Louisiana,2010,225308.9
Maine,1997,30618.4
Maine,1998,32156.2
Maine,1999,34413.2
Maine,2000,36890.3
Maine,2001,38605.7
Maine,2002,40466.2
Maine,2003,42315.2
Maine,2004,45210
Maine,2005,47078.5
Maine,2006,49045.4
Maine,2007,50459.3
Maine,2008,50713.2
Maine,2009,51123.8
Maine,2010,52256.2
Maryland,1997,159372.1
Maryland,1998,169982.1
Maryland,1999,180261.6
Maryland,2000,192021.4
Maryland,2001,205981
Maryland,2002,217837.1
Maryland,2003,228959.3
Maryland,2004,245124.5
Maryland,2005,262100
Maryland,2006,274145.3
Maryland,2007,282965.6
Maryland,2008,295400.2
Maryland,2009,299102.7
Maryland,2010,314728.3
Massachusetts,1997,237267.4
Massachusetts,1998,249299
Massachusetts,1999,264644.4
Massachusetts,2000,288791
Massachusetts,2001,296868.7
Massachusetts,2002,301836.4
Massachusetts,2003,311188.6
Massachusetts,2004,326737.1
Massachusetts,2005,341993.2
Massachusetts,2006,359270
Massachusetts,2007,378519.1
Massachusetts,2008,390778.4
Massachusetts,2009,390504.8
Massachusetts,2010,411136.1
Michigan,1997,299817.7
Michigan,1998,312688.1
Michigan,1999,338312.4
Michigan,2000,352152.4
Michigan,2001,349885.8
Michigan,2002,363660.8
Michigan,2003,374174.2
Michigan,2004,385621.1
Michigan,2005,400268.9
Michigan,2006,401869
Michigan,2007,409615.4
Michigan,2008,390420.9
Michigan,2009,368733.8
Michigan,2010,390043
Minnesota,1997,156351.4
Minnesota,1998,166904.8
Minnesota,1999,175759.3
Minnesota,2000,191515
Minnesota,2001,196006.1
Minnesota,2002,203713.8
Minnesota,2003,215721.8
Minnesota,2004,231267.1
Minnesota,2005,245380.5
Minnesota,2006,252295.9
Minnesota,2007,262063.1
Minnesota,2008,267420.6
Minnesota,2009,262088.9
Minnesota,2010,274231.3
Mississippi,1997,58352.7
Mississippi,1998,60940.4
Mississippi,1999,63879
Mississippi,2000,65673.1
Mississippi,2001,67174
Mississippi,2002,69259.9
Mississippi,2003,73961.9
Mississippi,2004,77998
Mississippi,2005,82448.5
Mississippi,2006,87099.5
Mississippi,2007,91191.4
Mississippi,2008,94514.5
Mississippi,2009,91792.2
Mississippi,2010,93943.1
Missouri,1997,163175.6
Missouri,1998,169483.4
Missouri,1999,177738
Missouri,2000,186650
Missouri,2001,190657.1
Missouri,2002,197557.7
Missouri,2003,205588.5
Missouri,2004,217084.2
Missouri,2005,227971.3
Missouri,2006,236386
Missouri,2007,244331.3
Missouri,2008,254045.8
Missouri,2009,253317.7
Missouri,2010,259816.1
Montana,1997,19290.4
Montana,1998,20429.1
Montana,1999,20812.2
Montana,2000,21876.7
Montana,2001,22847.6
Montana,2002,23942.1
Montana,2003,25714.9
Montana,2004,28160.5
Montana,2005,30875.8
Montana,2006,33166.1
Montana,2007,36233.2
Montana,2008,37224.9
Montana,2009,36187.8
Montana,2010,38336.1
Nebraska,1997,49819.2
Nebraska,1998,51822.1
Nebraska,1999,53685.2
Nebraska,2000,56527.5
Nebraska,2001,59607.2
Nebraska,2002,61417.3
Nebraska,2003,66402.1
Nebraska,2004,70469.2
Nebraska,2005,74564.5
Nebraska,2006,78813.8
Nebraska,2007,83834.8
Nebraska,2008,85628
Nebraska,2009,86870.4
Nebraska,2010,91561.5
Nevada,1997,60259.1
Nevada,1998,65114.2
Nevada,1999,71595.9
Nevada,2000,76833.1
Nevada,2001,80429.2
Nevada,2002,85008.7
Nevada,2003,90633.6
Nevada,2004,103231
Nevada,2005,116166.2
Nevada,2006,125848.3
Nevada,2007,131620.9
Nevada,2008,130609.5
Nevada,2009,122127.1
Nevada,2010,124669.4
New Hampshire,1997,38206.6
New Hampshire,1998,40554
New Hampshire,1999,41955.2
New Hampshire,2000,45342
New Hampshire,2001,46817.5
New Hampshire,2002,49059.9
New Hampshire,2003,51637.6
New Hampshire,2004,54918.2
New Hampshire,2005,56952.6
New Hampshire,2006,60017
New Hampshire,2007,61782.1
New Hampshire,2008,61700.2
New Hampshire,2009,62522.9
New Hampshire,2010,64843.6
New Jersey,1997,307817.1
New Jersey,1998,319861.3
New Jersey,1999,336064.9
New Jersey,2000,361005.4
New Jersey,2001,373698
New Jersey,2002,386132.5
New Jersey,2003,400984.7
New Jersey,2004,414848.6
New Jersey,2005,435736.7
New Jersey,2006,457593.1
New Jersey,2007,474867.9
New Jersey,2008,496227.2
New Jersey,2009,482458.9
New Jersey,2010,492762.4
New Mexico,1997,52475.6
New Mexico,1998,50658.7
New Mexico,1999,53017.3
New Mexico,2000,55105
New Mexico,2001,55789.7
New Mexico,2002,57808.3
New Mexico,2003,62651.1
New Mexico,2004,69956.6
New Mexico,2005,73911.4
